ts_us,channel,len,rssi,mac_hash,eapol,head
54643621,11,106,-86,a77d0e51d916c252,0,884a3c00c43cb04bfde1d2823d9fb0f2
54661688,11,106,-86,a77d0e51d916c252,0,884a3c00c43cb04bfde1d2823d9fb0f2
54679834,11,106,-86,a77d0e51d916c252,0,884a3c00c43cb04bfde1d2823d9fb0f2
54697971,11,106,-86,a77d0e51d916c252,0,884a3c00c43cb04bfde1d2823d9fb0f2
54716522,11,240,-83,b77a745d83d8dc66,0,50003a01dc03986c98d692823d9fb91e
54734252,11,225,-94,7e2059b55cc1e490,0,40000000ffffffffffffdc03986c98d6
54752395,11,225,-95,7e2059b55cc1e490,0,40000000ffffffffffffdc03986c98d6
54770531,11,240,-83,b77a745d83d8dc66,0,50003a01dc03986c98d692823d9fb91e
54788673,11,240,-85,8245151affcd5ae7,0,50003a01dc03986c98d6d2823d9fb0f1
54806812,11,240,-85,8245151affcd5ae7,0,50083a01dc03986c98d6d2823d9fb0f1
54824957,11,240,-83,b77a745d83d8dc66,0,50083a01dc03986c98d692823d9fb91e
54843093,11,211,-83,4fdaf896e88ee013,0,80000000ffffffffffff92823d9fb91b
54861236,11,240,-94,560b48637656bb24,0,50083a01dc03986c98d692823d9fbbbe
54879375,11,240,-93,560b48637656bb24,0,50083a01dc03986c98d692823d9fbbbe
54898626,11,249,-95,72184e28ab7e5384,0,80000000ffffffffffff203706aa96c2
54915658,11,250,-83,0434195e5baafb51,0,80000000ffffffffffff92823d9fb91a
54933796,11,211,-84,4fdaf896e88ee013,0,80000000ffffffffffff92823d9fb91b
54951938,11,246,-84,b77a745d83d8dc66,0,80000000ffffffffffff92823d9fb91e
54970077,11,102,-83,4fdaf896e88ee013,0,0822000001005e0000fb92823d9fb91b
54988219,11,102,-83,4fdaf896e88ee013,0,0802000001005e0000fb92823d9fb91b
55006362,11,210,-84,62cba5f006974d33,0,80000000ffffffffffffd2823d9fb0f0
55024501,11,246,-84,8245151affcd5ae7,0,80000000ffffffffffffd2823d9fb0f1
55042641,11,250,-84,a77d0e51d916c252,0,80000000ffffffffffffd2823d9fb0f2
55060783,11,102,-86,62cba5f006974d33,0,0822000001005e0000fbd2823d9fb0f0
55079457,1,210,-87,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
55096886,1,246,-86,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
55114855,1,250,-86,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
55132821,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
55150847,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
55168754,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
55186724,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
55204698,1,210,-75,a8da6782170c335b,0,80000000fffffffffffff2823d9fb942
55222658,1,246,-77,aea7d1ab30ae1e9d,0,80000000fffffffffffff2823d9fb943
55240622,1,250,-78,e8c5cf156aff9e47,0,80000000fffffffffffff2823d9fb944
55258996,1,246,-66,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
55276554,1,250,-67,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
55294527,1,210,-66,98240d6dced69540,0,80000000ffffffffffffb2823d9fb1dd
55312491,1,210,-87,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
55330459,1,246,-87,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
55348425,1,210,-76,a8da6782170c335b,0,80000000fffffffffffff2823d9fb942
55366393,1,246,-77,aea7d1ab30ae1e9d,0,80000000fffffffffffff2823d9fb943
55384359,1,250,-76,e8c5cf156aff9e47,0,80000000fffffffffffff2823d9fb944
55402327,1,80,-83,46bb505a1c451da3,0,40000000ffffffffffff98d863c1d1fe
55420116,1,246,-67,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
55438582,1,246,-66,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
55456053,1,250,-66,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
55474019,1,210,-66,98240d6dced69540,0,80000000ffffffffffffb2823d9fb1dd
55491985,1,210,-84,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
55509957,1,250,-88,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
55527922,1,210,-76,a8da6782170c335b,0,80000000fffffffffffff2823d9fb942
55545891,1,246,-76,aea7d1ab30ae1e9d,0,80000000fffffffffffff2823d9fb943
55563853,1,250,-76,e8c5cf156aff9e47,0,80000000fffffffffffff2823d9fb944
55581822,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
55599819,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
55618165,1,210,-77,a8da6782170c335b,0,80000000fffffffffffff2823d9fb942
55635721,1,246,-77,aea7d1ab30ae1e9d,0,80000000fffffffffffff2823d9fb943
55653690,1,250,-78,e8c5cf156aff9e47,0,80000000fffffffffffff2823d9fb944
55672297,1,80,-84,46bb505a1c451da3,0,40000000ffffffffffff98d863c1d1fe
55690088,1,246,-66,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
55708062,1,250,-66,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
55726024,1,210,-67,98240d6dced69540,0,80000000ffffffffffffb2823d9fb1dd
55743991,1,78,-70,98240d6dced69540,0,0802000001000ccccccdb2823d9fb1dd
55761782,1,210,-88,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
55779754,1,246,-86,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
55798835,1,210,-86,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
55815683,1,246,-88,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
55833650,1,250,-88,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
55851618,1,210,-75,a8da6782170c335b,0,80000000fffffffffffff2823d9fb942
55869584,1,246,-75,aea7d1ab30ae1e9d,0,80000000fffffffffffff2823d9fb943
55887553,1,250,-75,e8c5cf156aff9e47,0,80000000fffffffffffff2823d9fb944
55905519,1,82,-75,a8da6782170c335b,0,08020000fffffffffffff2823d9fb942
55923312,1,80,-84,46bb505a1c451da3,0,40000000ffffffffffff98d863c1d1fe
55941104,1,246,-67,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
55959074,1,250,-66,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
55977451,6,80,-79,46bb505a1c451da3,0,40000000ffffffffffff98d863c1d1fe
55994831,6,28,-57,1890347fafe281c5,0,4811580132823d9fb34642c4754b3d5a
56012623,6,28,-57,1890347fafe281c5,0,4801580132823d9fb34642c4754b3d5a
56074143,6,80,-81,46bb505a1c451da3,0,40000000ffffffffffff98d863c1d1fe
56091934,6,254,-85,a8e68be227b73f34,0,80000000ffffffffffff0cefafc31644
