ts_us,channel,len,rssi,mac_hash,eapol,head
142744662,6,254,-87,a8e68be227b73f34,0,80000000ffffffffffff0cefafc31644
142762967,6,50,-90,96b3ab5cc084de91,0,d0000000ffffffffffffc60b8515ddee
142781517,11,197,-85,95a8f4c670d2c508,0,80000000ffffffffffff203706aa96c1
142799595,11,256,-90,795721b1a3baaa05,0,80000000ffffffffffff5e4449bf2c4f
142818082,11,249,-85,7e17d63142a43844,0,80000000ffffffffffff203706aa96c3
142836574,11,242,-85,525dfdeee1b4bf9e,0,80000000ffffffffffff203706aa96c5
142855058,11,249,-85,72184e28ab7e5384,0,80000000ffffffffffff203706aa96c2
142873546,11,204,-94,d15abb4833b13537,0,50003a015a8128a56365f2823d9fc482
142892032,11,204,-92,8dee1fd767293b59,0,50003a015a8128a56365b2823d9fb62e
142910521,11,250,-90,795721b1a3baaa05,0,50003a015a8128a563655e4449bf2c4f
142929008,11,204,-95,8dee1fd767293b59,0,50083a015a8128a56365b2823d9fb62e
142947499,11,250,-89,795721b1a3baaa05,0,50083a015a8128a563655e4449bf2c4f
142966388,11,204,-88,dd644234cc307e42,0,50083a015e35633c7218f2823d9fb2b2
142984472,11,204,-90,dd644234cc307e42,0,50083a015e35633c7218f2823d9fb2b2
143002959,11,197,-84,95a8f4c670d2c508,0,80000000ffffffffffff203706aa96c1
143021449,11,256,-92,795721b1a3baaa05,0,80000000ffffffffffff5e4449bf2c4f
143039935,11,204,-92,8dee1fd767293b59,0,50003a015e35633c7218b2823d9fb62e
143058425,11,204,-90,dd644234cc307e42,0,50083a015e35633c7218f2823d9fb2b2
143076911,11,204,-89,dd644234cc307e42,0,50083a015e35633c7218f2823d9fb2b2
143095402,11,204,-89,dd644234cc307e42,0,50083a015e35633c7218f2823d9fb2b2
143113886,11,204,-89,dd644234cc307e42,0,50083a015e35633c7218f2823d9fb2b2
143132374,11,242,-84,525dfdeee1b4bf9e,0,80000000ffffffffffff203706aa96c5
143151265,11,204,-94,62cba5f006974d33,0,50083a0156d5aa8a80d3d2823d9fb0f0
143169348,11,204,-92,4fdaf896e88ee013,0,50003a0156d5aa8a80d392823d9fb91b
143187836,11,249,-84,72184e28ab7e5384,0,80000000ffffffffffff203706aa96c2
143206325,11,197,-84,95a8f4c670d2c508,0,80000000ffffffffffff203706aa96c1
143224819,11,256,-95,795721b1a3baaa05,0,80000000ffffffffffff5e4449bf2c4f
143243302,11,249,-84,7e17d63142a43844,0,80000000ffffffffffff203706aa96c3
143261788,11,204,-89,dd644234cc307e42,0,50003a01c24cc3b3d361f2823d9fb2b2
143280277,11,204,-89,dd644234cc307e42,0,50083a01c24cc3b3d361f2823d9fb2b2
143298763,11,250,-95,795721b1a3baaa05,0,50083a01c24cc3b3d3615e4449bf2c4f
143317253,11,204,-89,dd644234cc307e42,0,50083a01c24cc3b3d361f2823d9fb2b2
143336144,11,242,-85,525dfdeee1b4bf9e,0,80000000ffffffffffff203706aa96c5
143354229,11,175,-79,3fcba7b15c3bc5ca,0,40000000ffffffffffff8efe0ad590e0
143417337,11,236,-83,525dfdeee1b4bf9e,0,50083c008efe0ad590e0203706aa96c5
143435825,11,204,-94,4fdaf896e88ee013,0,50083a018efe0ad590e092823d9fb91b
143454312,11,204,-97,62cba5f006974d33,0,50083a018efe0ad590e0d2823d9fb0f0
143472798,11,204,-93,4fdaf896e88ee013,0,50083a018efe0ad590e092823d9fb91b
143491287,11,175,-77,3fcba7b15c3bc5ca,0,40000000ffffffffffff8efe0ad590e0
143509774,11,236,-85,525dfdeee1b4bf9e,0,50083c008efe0ad590e0203706aa96c5
143528262,11,236,-84,525dfdeee1b4bf9e,0,50083c008efe0ad590e0203706aa96c5
143546749,11,236,-84,525dfdeee1b4bf9e,0,50083c008efe0ad590e0203706aa96c5
143566347,11,242,-85,525dfdeee1b4bf9e,0,80000000ffffffffffff203706aa96c5
143583728,11,236,-85,525dfdeee1b4bf9e,0,50083c0056e9748308bf203706aa96c5
143602212,11,236,-84,525dfdeee1b4bf9e,0,50083c0056e9748308bf203706aa96c5
143620704,11,249,-85,72184e28ab7e5384,0,80000000ffffffffffff203706aa96c2
143639188,11,204,-97,62cba5f006974d33,0,50003a01fa163f3aa5edd2823d9fb0f0
143657678,11,236,-85,525dfdeee1b4bf9e,0,50083c0056e9748308bf203706aa96c5
143676165,11,236,-84,525dfdeee1b4bf9e,0,50083c0056e9748308bf203706aa96c5
143694665,11,204,-94,4fdaf896e88ee013,0,50003a01fa163f3aa5ed92823d9fb91b
143713139,11,204,-96,62cba5f006974d33,0,50083a01fa163f3aa5edd2823d9fb0f0
143731629,11,256,-91,795721b1a3baaa05,0,80000000ffffffffffff5e4449bf2c4f
143750528,1,30,-73,e47fedf811efad17,0,c801ca0032823d9fc36854f15f92542b
143768255,1,197,-90,4c1e10d00a18f6b3,0,80000000ffffffffffff203706ab5e81
143786568,1,249,-92,d4905d134297dad9,0,80000000ffffffffffff203706ab5e83
143804885,1,242,-89,0d01f3119e6e8f3b,0,80000000ffffffffffff203706ab5e85
143823195,1,246,-87,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
143841513,1,250,-86,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
143859824,1,210,-86,98240d6dced69540,0,80000000ffffffffffffb2823d9fb1dd
143878139,1,211,-86,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
143896453,1,246,-86,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
143914779,1,250,-85,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
143933486,1,204,-86,98240d6dced69540,0,50003a0166df8e7a45fbb2823d9fb1dd
143951395,1,204,-97,8a485460cb3b8810,0,50003a01d2700e33178892823d9fb3dc
143969709,1,204,-92,a8da6782170c335b,0,50003a0166df8e7a45fbf2823d9fb942
143988027,1,132,-76,8c6255171cd63f97,0,0802000033330000001632823d9fc366
144006340,1,204,-87,98240d6dced69540,0,50003a0166df8e7a45fbb2823d9fb1dd
144024663,1,204,-92,a8da6782170c335b,0,50003a0166df8e7a45fbf2823d9fb942
144042966,1,28,-86,1890347fafe281c5,0,4801580132823d9fc36642c4754b3d5a
144061108,1,211,-75,8c6255171cd63f97,0,0802000001005e0000fb32823d9fc366
144079420,1,231,-75,8c6255171cd63f97,0,080200003333000000fb32823d9fc366
144097736,1,249,-92,d4905d134297dad9,0,80000000ffffffffffff203706ab5e83
144116453,1,204,-82,8c6255171cd63f97,0,50083a01fee3e07fe5d432823d9fc366
144134366,1,204,-90,a8da6782170c335b,0,50003a01fee3e07fe5d4f2823d9fb942
144152675,1,204,-82,8c6255171cd63f97,0,50083a01fee3e07fe5d432823d9fc366
144170992,1,204,-82,8c6255171cd63f97,0,50083a01fee3e07fe5d432823d9fc366
144189304,1,204,-82,8c6255171cd63f97,0,50083a01fee3e07fe5d432823d9fc366
144207625,1,250,-88,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
144268760,1,204,-89,a8da6782170c335b,0,50083a01fee3e07fe5d4f2823d9fb942
144287076,1,204,-89,a8da6782170c335b,0,50083a01fee3e07fe5d4f2823d9fb942
144305389,1,210,-82,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
144323706,1,250,-81,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
144342421,1,210,-80,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
144360347,1,246,-79,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
144378646,1,250,-79,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
144396958,1,210,-88,a8da6782170c335b,0,80000000fffffffffffff2823d9fb942
144415275,1,246,-88,aea7d1ab30ae1e9d,0,80000000fffffffffffff2823d9fb943
144433586,1,250,-90,e8c5cf156aff9e47,0,80000000fffffffffffff2823d9fb944
144451901,1,249,-90,720b2f74b4b0e00b,0,80000000ffffffffffff203706ab5e82
144470214,1,80,-75,42b6a02b211027a9,0,08030000010b85000000203706ab5e80
144488985,1,38,-90,55acf8a50944eeee,0,08000000223706ab5e80000000000000
144507126,1,246,-87,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
144526551,1,204,-81,8c6255171cd63f97,0,50003a01de1abb51597732823d9fc366
